                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.02033,                0.85443,                      1,                0.44604,             0.00011317,             0.00011317,             0.00011317
                     88,                0.01945,                0.85443,                      1,                0.44375,              0.0001061,              0.0001061,              0.0001061
                     89,                0.02453,                 0.8481,                      1,                0.44517,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01191,                0.84177,                      1,                0.44585,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.02693,                0.83544,                      1,                 0.4499,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.03736,                 0.8481,                      1,                0.44561,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.01907,                0.84177,                      1,                0.44609,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.02401,                0.85443,                      1,                0.44692,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.0401,                0.85443,                      1,                0.44902,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.02786,                0.84177,                      1,                0.44966,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.02042,                0.85443,                      1,                0.44712,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.01589,                0.83544,                      1,                0.44966,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.02925,                0.84177,                      1,                0.45078,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 0.0249,                0.84177,                      1,                0.44985,             2.1277e-05,             2.1277e-05,             2.1277e-05
